"V1" "V2" "V3" "V4"
"1" "江苏苏宁易购" "6" "2/0/0"
"2" "河南建业" "6" "2/0/0"
"3" "广州恒大淘宝" "3" "1/0/1"
"4" "河北华夏幸福" "3" "1/0/0"
"5" "辽宁沈阳宏运" "3" "1/0/1"
"6" "杭州绿城" "3" "1/0/1"
"7" "重庆力帆" "3" "1/0/1"
"8" "广州富力" "3" "1/0/1"
"9" "石家庄永昌" "3" "1/0/1"
"10" "山东鲁能泰山" "3" "1/0/1"
"11" "上海绿地申花" "2" "0/2/0"
"12" "北京国安乐视" "1" "0/1/0"
"13" "延边富德" "1" "0/1/1"
"14" "上海上港" "1" "0/1/1"
"15" "天津泰达亿利" "1" "0/1/1"
"16" "长春亚泰" "0" "0/0/2"
